['Duursma_I', 'Number Theory', 8],
['Erdogan_B', 'Analysis of PDEs', 4],
['Erdogan_B', 'Classical Analysis and ODEs', 1],
['Feng_R', 'Algebraic Geometry', 2],
['Feng_R', 'Analysis of PDEs', 1],
['Feng_R', 'Classical Analysis and ODEs', 1],
['Feng_R', 'Combinatorics', 1],
['Feng_R', 'Complex Variables', 1],
['Feng_R', 'Differential Geometry', 3],
['Feng_R', 'Non-Math', 30],
['Feng_R', 'Number Theory', 2],
['Feng_R', 'Optimization and Control', 1],
['Feng_R', 'Probability', 7],
['Fernandes_R', 'Analysis of PDEs', 2],
['Fernandes_R', 'Differential Geometry', 23],
['Fernandes_R', 'Non-Math', 168],
['Fernandes_R', 'Numerical Analysis', 1],
['Fernandes_R', 'Symplectic Geometry', 6],
['Ford_K', 'Combinatorics', 1],
['Ford_K', 'Group Theory', 2],
['Ford_K', 'Non-Math', 20],
['Ford_K', 'Number Theory', 37],
['Ford_K', 'Probability', 4],
['Francis_G', 'Non-Math', 1],
['Fuchs_E', 'Combinatorics', 3],
['Fuchs_E', 'Group Theory', 2],
['Fuchs_E', 'Non-Math', 21],
['Fuchs_E', 'Number Theory', 3],
['Haboush_W', 'Algebraic Geometry', 2],
['Heller_J', 'Algebraic Geometry', 6],
['Heller_J', 'Algebraic Topology', 4],
['Heller_J', 'K-Theory and Homology', 1],
['Heller_J', 'Non-Math', 1],
['Heller_J', 'Optimization and Control', 1],
['Heller_J', 'Quantum Algebra', 1],
['Hieronymi_P', 'Logic', 18],
['Hinkkanen_A', 'Classical Analysis and ODEs', 1],
['Hinkkanen_A', 'Complex Variables', 2],
['Hirani_A', 'Algebraic Topology', 1],
['Hirani_A', 'Differential Geometry', 1],
['Hirani_A', 'Non-Math', 13],
['Hirani_A', 'Numerical Analysis', 3],
['Hur_V', 'Analysis of PDEs', 19],
['Ivanov_S', 'Algebraic Topology', 3],
['Ivanov_S', 'Analysis of PDEs', 3],
['Ivanov_S', 'Complex Variables', 2],
['Ivanov_S', 'Differential Geometry', 65],
['Ivanov_S', 'Functional Analysis', 4],
['Ivanov_S', 'Group Theory', 30],
['Ivanov_S', 'K-Theory and Homology', 2],
['Ivanov_S', 'Metric Geometry', 4],
['Ivanov_S', 'Non-Math', 84],
['Ivanov_S', 'Optimization and Control', 1],
['Ivanov_S', 'Representation Theory', 1],
['Ivanov_S', 'Spectral Theory', 1],
['Junge_M', 'Classical Analysis and ODEs', 4],
['Junge_M', 'Functional Analysis', 22],
['Junge_M', 'Non-Math', 16],
['Junge_M', 'Operator Algebras', 32],
['Junge_M', 'Probability', 11],
['Kapovich_I', 'Geometric Topology', 5],
['Kapovich_I', 'Group Theory', 57],
['Kapovich_I', 'Non-Math', 1],
['Katz_S', 'Algebraic Geometry', 9],
['Katz_S', 'Non-Math', 175],
['Kedem_R', 'Combinatorics', 4],
['Kedem_R', 'Non-Math', 25],
['Kedem_R', 'Quantum Algebra', 8],
['Kedem_R', 'Representation Theory', 7],
['Kerman_E', 'Differential Geometry', 5],
['Kerman_E', 'Non-Math', 2],
['Kerman_E', 'Symplectic Geometry', 10],
['Kirkpatrick_K', 'Analysis of PDEs', 3],
['Kirkpatrick_K', 'Non-Math', 18],
['Kirkpatrick_K', 'Operator Algebras', 2],
['Kirkpatrick_K', 'Probability', 1],
['Kirr_E', 'Analysis of PDEs', 6],
['Kirr_E', 'Non-Math', 4],
